Lname,Fname,Regiment,RankCasualtie,RankSoldier,Junk
ROSS,JOHN ALEXANDER,,Second Lieutenant,0
MACDONALD,JOHN ALEXANDER,,Lieutenant,0
ROBINSON,GEORGE,,Captain,0
