Lname,Fname,Regiment,RankCasualtie,RankSoldier,Junk
BANISTER,JOHN EDWIN,BANNISTER,null,0
BARAZINI,GEORGE,BARAZINE,null,0
BARRATT,GEORGE WILLIAM,BARRETT,null,0
BARRAU,AIME JEAN,BARRAN,null,0
BAYN (BOLAND),JOHN,BAYN,null,0
BICKFORD,SHIRLEY,BACON,null,0
BIRCH REYNARDSON,EDWARD VERE,BABBITT,null,0
BISSET,THOMAS,BISSETT,null,0
BLANCHETT,CHRISTOPHER,BLANCHETTE,null,0
BOGLE,GEORGE STAFFORD,BABY,null,0
BONE,JOHN TURNER,BAGNALL,null,0
BRIDGES,SIR WILLIAM THORSEBY,BACON,null,0
BROMMELL,ROBERT BRUCE,BERNARD,null,0
BAZELEY,ROLAND ARTHUR,BABB,null,0
BISHOP,ALBERT EDWARD,BURGESS,null,0
BLANDY,CLAUDE MILBERNE,BAGOT,null,0
BODDY,GUY GERALD,BABY,null,0
BRADIE,ARCHIBALD BLYTH,BRODIE,null,0
BRANDON,WILLIAM,BRANDOM,null,0
BUCHANAN,WILLIAM,BUCHANNAN,null,0
BARLOW,LOVEL HARDWICK,BACON,null,0
BARNETT,LASCELLES DE BARRY,BACON,null,0
BARTRAM,ALAN,BABBITT,null,0
BEATSON,ROGER STEWART MONTRESOR,BABB,null,0
BENSON,WILLIAM ROY GWYN,BABER,null,0
BLAKELEY,WILLIAM HENRY,BLAKELY,null,0
BLUNDUN,GEORGE,BLUNDEN,null,0
BOURGOING,JOSEPH ALCIDE,BOURGOIN,null,0
BRAYLEY,JOHN WESTLEY,BRALEY,null,0
BURGES,FRANK LACKLAN,BURGESS,null,0
BAKER,THOMAS MASSEY,BACON,null,0
BARR,HERBERT CARRICK,BACKHOUS,null,0
BARR,JAMES STEVENSON,BAGNALL,null,0
BEALE,OSCAR CHILD,BANTING,null,0
BEAUREGEARD,PHILIAS,BEAUREGARD,null,0
BEGG,JAMES,BEGGS,null,0
BEYER,FRANK,BEYEA,null,0
BILLMAN,WALTER MELVILLE,BABER,null,0
BJARNASON,BARNEY,BJARNSON,null,0
BLAKEY,GEORGE,BABY,null,0
BOTHAMLEY,WILLIAM BROUGHTON,BABER,null,0
BOUCHER,EDGAR ALLEN,BABBITT,null,0
BRAZEAU,ELIE,BRAZANO,null,0
BRECKELL,ROBERT JAMES,BRECKNELL,null,0
BRICKMAN,HUGH MARTON G,BACKHOUS,null,0
BRIMER,CHARLES TORRYBURN,BAGOT,null,0
BROWN,WILFRED EWART,BROWNE,null,0
BURNES,WILLIAM ALBERT,BURNS,null,0
BAIRD (SCOTT),JAMES,BAIRD,null,0
BEAUMONT,GEORGE JOSEPH,BABY,null,0
BEEVOR,VERNON SAVILE,BARROW,null,0
BENZIE,WILLIAM GARDNER,BABER,null,0
BEUTLICH-MILLAR,FINLAY,BEUTLICH-MILLER,null,0
BLEAKLY,JAMES ALEXANDER,BLEAKLEY,null,0
BOCHEL,JAMES,BACHEL,null,0
BODEN,ALBERT EBENEZER,BODEM,null,0
BOSTOCK,NEVILLE STANLEY,BAILEY,null,0
BRIGHT,ALBERT EDWARD,BABBITT,null,0
BUCKLEY,ROY,BABB,null,0
BUCKNALL,MARC ANTONY,BAGNALL,null,0
BUSH,RICHARD ELDON,BABB,null,0
BUSS,THOMAS WESTON,BACON,null,0
BUTTAZONI,ANTONIO,BUTTAZZONI,null,0
BADGLEY,JAMES CHESTER,BAGNALL,null,0
BALDERSTON,CHESTER THOMAS,BAGOT,null,0
BARRETT,ANTHONY,BABBITT,null,0
BAWDEN,ALEXANDER REGINALD,BABBITT,null,0
BAYLIS,CHARLES JOHN,BAGOT,null,0
BELECKY,DANIEL,BALECKY,null,0
BENNIE,ROBERT SMITH,BABB,null,0
BERTHELETTE,RAYMOND,BERTHELETT,null,0
BIBBY,JOHN RICHARD,BAGNALL,null,0
BOULET,JOSEPH RAOUL,BOULE,null,0
